epoch,train_loss,val_loss
0,4.745014366322318,4.550423692402087
1,4.539855864896612,4.447455097499646
2,4.4426103847848495,4.3706974330701325
3,4.368719957373236,4.329628153851158
4,4.30727694829305,4.312814740130776
5,4.258459321253717,4.249072472672713
6,4.20965420943869,4.2031895712802285
7,4.1705662414852505,4.184892077195017
8,4.131981534472967,4.163646089403253
9,4.098473069896806,4.141141764741195
10,4.067699466047987,4.140902374920092
11,4.038481445096981,4.113948783121611
12,4.0101474287819725,4.097187319554781
13,3.9837953001765882,4.0914425460915815
14,3.9578894997720666,4.065076732635498
15,3.9373152638559286,4.0934510745500265
16,3.9111341880539716,4.0522659314306155
17,3.8900006137998764,4.034746830086959
18,3.867645018248908,4.023424782251057
19,3.8473412669984635,4.021721980446263
20,3.826076470930024,4.00986344939784
21,3.8102906057390116,3.9928354438982514
22,3.7937632671183787,3.985877201431676
23,3.772933489589368,3.9832344544561287
24,3.756695364828164,3.9806027161447624
25,3.7372750363107454,3.97055643985146
26,3.7258640297388625,3.967246149715624
27,3.7073651486197434,3.968400680391412
28,3.6953001418356166,3.9735835690247385
29,3.680341409963403,3.9598031583585236
30,3.664686498534208,3.945989509632713
31,3.6514145403932043,3.9488898942345068
32,3.640186404373686,3.9460361066617464
33,3.626258724557478,3.9468188687374717
34,3.6132457574208576,3.943712031213861
35,3.604416851269997,3.9530265055204694
36,3.590283471716326,3.941440442988747
37,3.580198349925758,3.93528464216935
38,3.5673991343395857,3.930229810664528
39,3.556789166240369,3.9379477789527493
40,3.5468204980516163,3.9385612701114856
41,3.538800147428351,3.924607182803907
42,3.524075127186748,3.926636108599211
43,3.5140432562531725,3.9340219422390588
44,3.505955032305529,3.9342993184139856
45,3.497539239818767,3.9300450161883704
46,3.485275972765044,3.922105317366751
47,3.4787315856265484,3.918538891641717
48,3.471161717883611,3.931028746303759
49,3.462302667542366,3.930265867082696
